p1,p2,p3,p4,p5,p6,i1,i2,i3,i4,i5,i6
ザシアン,ラグラージ,サンダー電,ドラパルト,ウーラオス悪,ヒードラン,くちたけん,たべのこし,いのちのたま,じゃくてんほけん,こだわりハチマキ,ふうせん
ネクロズマ日,ラグラージ,ウーラオス悪,ミミッキュ,サンダー電,メタモン,じゃくてんほけん,イバンのみ,こだわりハチマキ,ひかりのこな,いのちのたま,きあいのタスキ
ネクロズマ日,カイリュー,サンダー電,ラグラージ,ウーラオス悪,ミミッキュ,じゃくてんほけん,こだわりハチマキ,たべのこし,オボンのみ,きあいのタスキ,いのちのたま
カイオーガ,エースバーン,ランドロス霊,ウーラオス悪,カプ・コケコ,ドラパルト,こだわりスカーフ,きあいのタスキ,いのちのたま,こだわりハチマキ,こだわりメガネ,じゃくてんほけん
ザシアン,ウーラオス悪,ニンフィア,サンダー電,ラグラージ,ナットレイ,くちたけん,こだわりハチマキ,オボンのみ,こだわりスカーフ,いのちのたま,たべのこし
ザシアン,ラプラス,サンダー電,ドサイドン,エンテイ,ウーラオス悪,くちたけん,たべのこし,いのちのたま,イバンのみ,こだわりスカーフ,きあいのタスキ
ネクロズマ日,バシャーモ,マンムー,サンダー電,パッチラゴン,ウーラオス悪,ラムのみ,バコウのみ,きあいのタスキ,ゴツゴツメット,とつげきチョッキ,こだわりスカーフ
サンダー電,カイオーガ,ナットレイ,ランドロス霊,バンギラス,ウーラオス悪,ゴツゴツメット,いのちのたま,たべのこし,ラムのみ,とつげきチョッキ,きあいのタスキ
ザシアン,サンダー電,ヌオー,ラッキー,バンギラス,ウーラオス悪,くちたけん,いのちのたま,オボンのみ,しんかのきせき,とつげきチョッキ,きあいのタスキ
キュレム黒,カバルドン,ドリュウズ,サンダー電,カプ・レヒレ,ウーラオス悪,いのちのたま,オボンのみ,とつげきチョッキ,ゴツゴツメット,たべのこし,こだわりスカーフ
ヒヒダルマ氷,リザードン,グラードン,ボーマンダ,ウーラオス悪,カミツルギ,こだわりスカーフ,ラムのみ,イバンのみ,いのちのたま,きあいのタスキ,とつげきチョッキ
ムゲンダイナ,エースバーン,ウーラオス悪,メタモン,サンダー電,ラッキー,こだわりスカーフ,いのちのたま,きあいのタスキ,せんせいのツメ,ゴツゴツメット,しんかのきせき
ラプラス,ザシアン,ウーラオス悪,サンダー電,バンギラス,ヌオー,いのちのたま,くちたけん,きあいのタスキ,ゴツゴツメット,こだわりハチマキ,たべのこし
カイオーガ,サンダー電,カイリュー,ウーラオス悪,ドリュウズ,ランクルス,こだわりスカーフ,アッキのみ,こだわりハチマキ,きあいのタスキ,じゃくてんほけん,どくどくだま
バドレックス黒,サンダー電,ナットレイ,ウーラオス悪,ミミッキュ,カバルドン,こだわりスカーフ,ゴツゴツメット,たべのこし,こだわりハチマキ,いのちのたま,オボンのみ
タチフサグマ,ペンドラー,ウーラオス悪,ゴチルゼル,ガマゲロゲ,ネクロズマ日,かえんだま,ズアのみ,きあいのタスキ,ふうせん,オボンのみ,じゃくてんほけん
ミミッキュ,ネクロズマ日,ウーラオス悪,オーロンゲ,サンダー電,ランドロス霊,こだわりハチマキ,じゃくてんほけん,きあいのタスキ,ひかりのねんど,いのちのたま,オボンのみ
カイオーガ,ゴリランダー,サンダー電,ドラパルト,ドリュウズ,ウーラオス悪,こだわりスカーフ,こだわりハチマキ,ゴツゴツメット,いのちのたま,とつげきチョッキ,きあいのタスキ
エースバーン,ジガルデ,ウーラオス悪,ナットレイ,カプ・レヒレ,テッカグヤ,ラムのみ,たべのこし,こだわりスカーフ,オボンのみ,ゴツゴツメット,フィラのみ
バドレックス黒,サンダー電,ウーラオス悪,エースバーン,ゴリランダー,ドサイドン,きあいのタスキ,いのちのたま,こだわりハチマキ,しろいハーブ,ラムのみ,イバンのみ
ディアルガ,ファイヤー炎,ナットレイ,オーロンゲ,ウーラオス悪,クレセリア,こだわりメガネ,あつぞこブーツ,たべのこし,こうこうのしっぽ,こだわりハチマキ,ゴツゴツメット
ホウオウ,ランドロス霊,バンギラス,カプ・レヒレ,ナットレイ,ウーラオス悪,あつぞこブーツ,いのちのたま,とつげきチョッキ,こだわりスカーフ,たべのこし,こだわりハチマキ
ラグラージ,バドレックス黒,サンダー電,バンギラス,ウーラオス悪,ミミッキュ,オボンのみ,こだわりスカーフ,ゴツゴツメット,とつげきチョッキ,きあいのタスキ,タラプのみ
ゼルネアス,クレッフィ,ランドロス霊,ランクルス,ウーラオス悪,サンダー電,パワフルハーブ,ひかりのねんど,ラムのみ,かえんだま,きあいのタスキ,アッキのみ
バドレックス黒,マリルリ,ヒードラン,ランドロス霊,サンダー電,ウーラオス悪,こだわりスカーフ,とつげきチョッキ,たべのこし,いのちのたま,ゴツゴツメット,きあいのタスキ
キュレム黒,サンダー電,ウーラオス悪,ドリュウズ,ヌオー,カバルドン,たべのこし,アッキのみ,こだわりハチマキ,とつげきチョッキ,ゴツゴツメット,オボンのみ
カイオーガ,サンダー電,エースバーン,ウーラオス悪,ナットレイ,ドサイドン,こだわりスカーフ,ゴツゴツメット,いのちのたま,きあいのタスキ,たべのこし,とつげきチョッキ
カイオーガ,サンダー電,ヒヒダルマ氷,ランドロス霊,エースバーン,ウーラオス悪,こだわりスカーフ,ゴツゴツメット,きあいのタスキ,いのちのたま,とつげきチョッキ,こだわりハチマキ
ムゲンダイナ,ポリゴン２,カバルドン,エースバーン,ウーラオス悪,ヒヒダルマ氷,こだわりスカーフ,しんかのきせき,オボンのみ,いのちのたま,きあいのタスキ,こだわりハチマキ
ザシアン,ラグラージ,サンダー電,ウーラオス悪,エースバーン,ドラパルト,くちたけん,オボンのみ,するどいくちばし,きあいのタスキ,いのちのたま,こだわりスカーフ
グラードン,リザードン,エースバーン,ミミッキュ,ウーラオス悪,ラティアス,とつげきチョッキ,いのちのたま,きあいのタスキ,チイラのみ,こだわりハチマキ,アッキのみ
カイオーガ,クレセリア,ウーラオス悪,サンダー電,ナットレイ,ドリュウズ,いのちのたま,ナモのみ,きあいのタスキ,ゴツゴツメット,たべのこし,オボンのみ
バドレックス黒,カバルドン,ウーラオス悪,ファイヤー炎,マリルリ,ポリゴン２,いのちのたま,オボンのみ,こだわりハチマキ,ゴツゴツメット,とつげきチョッキ,しんかのきせき
ウーラオス悪,ムゲンダイナ,ドータクン,ポリゴンＺ,ヌオー,サンダー電,こだわりスカーフ,くろいヘドロ,こうこうのしっぽ,たつじんのおび,たべのこし,いのちのたま
ゼルネアス,サンダー電,ウーラオス悪,ヒードラン,ドラパルト,メタモン,パワフルハーブ,ゴツゴツメット,きあいのタスキ,ふうせん,とつげきチョッキ,こだわりスカーフ
バドレックス白,シャンデラ,カプ・レヒレ,ナットレイ,ウーラオス悪,カイリュー,ラムのみ,オボンのみ,こうこうのしっぽ,たべのこし,きあいのタスキ,いのちのたま
ホウオウ,ランドロス霊,サンダー電,ウーラオス悪,ポリゴン２,トリトドン,あつぞこブーツ,こだわりスカーフ,ゴツゴツメット,こだわりハチマキ,しんかのきせき,オボンのみ
ラプラス,サンダー電,バンギラス,ウーラオス悪,ヌオー,ザシアン,じゃくてんほけん,いのちのたま,とつげきチョッキ,こだわりハチマキ,ゴツゴツメット,くちたけん
ディアルガ,ウーラオス悪,サンダー電,ヒヒダルマ氷,ドリュウズ,カプ・レヒレ,とつげきチョッキ,きあいのタスキ,ゴツゴツメット,こだわりスカーフ,いのちのたま,たべのこし
エースバーン,サンダー電,バドレックス黒,ウーラオス悪,ドサイドン,カプ・レヒレ,いのちのたま,するどいくちばし,こだわりメガネ,きあいのタスキ,リリバのみ,たべのこし
レシラム,カプ・テテフ,ファイヤー悪,ミミッキュ,ウーラオス悪,カバルドン,ラムのみ,たべのこし,じゃくてんほけん,こうこうのしっぽ,きあいのタスキ,オボンのみ
キュレム黒,ミミッキュ,ウーラオス悪,ランドロス霊,バシャーモ,オーロンゲ,じゃくてんほけん,チイラのみ,きあいのタスキ,オボンのみ,いのちのたま,ひかりのねんど
カバルドン,エースバーン,ウーラオス悪,サンダー電,ラプラス,ザシアン,オボンのみ,こだわりスカーフ,きあいのタスキ,いのちのたま,たべのこし,くちたけん
バドレックス黒,ウーラオス悪,サンダー電,マリルリ,サンドパン氷鋼,ナックラー,いのちのたま,こだわりスカーフ,ゴツゴツメット,とつげきチョッキ,きあいのタスキ,しんかのきせき
マリルリ,ゼルネアス,ドリュウズ,ウーラオス悪,ロトム水,メタモン,ラムのみ,パワフルハーブ,ヨプのみ,きあいのタスキ,オボンのみ,こだわりスカーフ
サンダー電,ザシアン,ウーラオス悪,ガマゲロゲ,ヒードラン,ヒヒダルマ氷,いのちのたま,くちたけん,きあいのタスキ,オボンのみ,たべのこし,こだわりスカーフ
カプ・レヒレ,ボルトロス化,ザシアン,トリトドン,エースバーン,ウーラオス悪,ゴツゴツメット,ジャポのみ,くちたけん,たべのこし,いのちのたま,きあいのタスキ
ザシアン,ミミッキュ,ウーラオス悪,ロトム水,ランドロス霊,ヒードラン,くちたけん,いのちのたま,きあいのタスキ,とつげきチョッキ,オボンのみ,たべのこし
ネクロズマ日,サンダー電,カプ・レヒレ,ポリゴン２,ウーラオス悪,ドラパルト,たべのこし,ゴツゴツメット,オボンのみ,しんかのきせき,きあいのタスキ,とつげきチョッキ
ザシアン,カバルドン,ウーラオス悪,ドラパルト,サンダー電,ポリゴン２,くちたけん,オボンのみ,きあいのタスキ,ラムのみ,いのちのたま,しんかのきせき
カイオーガ,サンダー電,ドラパルト,ウーラオス悪,エースバーン,ヒヒダルマ氷,こだわりスカーフ,いのちのたま,こだわりハチマキ,きあいのタスキ,とつげきチョッキ,ラブラブボール
カバルドン,ザシアン,サンダー電,ラプラス,ウーラオス悪,カビゴン,オボンのみ,くちたけん,いのちのたま,たべのこし,きあいのタスキ,イバンのみ
ムゲンダイナ,テッカグヤ,サンダー電,ラッキー,ウーラオス悪,メタモン,パワフルハーブ,じゃくてんほけん,いのちのたま,しんかのきせき,きあいのタスキ,こだわりスカーフ
リザードン,コータス,ザシアン,ラプラス,ヌオー,ウーラオス悪,いのちのたま,だっしゅつパック,くちたけん,ひかりのねんど,アッキのみ,きあいのタスキ
バドレックス黒,カプ・レヒレ,サンダー電,ドサイドン,ナットレイ,ウーラオス悪,いのちのたま,たべのこし,ゴツゴツメット,イバンのみ,オボンのみ,きあいのタスキ
バドレックス黒,カバルドン,エースバーン,ウオノラゴン,ウーラオス悪,ドリュウズ,こだわりスカーフ,オボンのみ,いのちのたま,こだわりハチマキ,きあいのタスキ,とつげきチョッキ
バシャーモ,カイオーガ,ナットレイ,サンダー電,ウーラオス悪,ランドロス霊,きあいのタスキ,とつげきチョッキ,たべのこし,ゴツゴツメット,こだわりスカーフ,オボンのみ
カバルドン,ザシアン,サンダー電,ウーラオス悪,ポリゴン２,ゴチルゼル,オボンのみ,くちたけん,いのちのたま,きあいのタスキ,しんかのきせき,たべのこし
ザシアン,サンダー電,ガブリアス,カバルドン,ウーラオス悪,メタモン,くちたけん,いのちのたま,こだわりハチマキ,オボンのみ,きあいのタスキ,こだわりスカーフ
バドレックス白,ドヒドイデ,カプ・レヒレ,ウーラオス悪,ホルード,ロトム炎,とつげきチョッキ,くろいヘドロ,こだわりメガネ,きあいのタスキ,いのちのたま,カゴのみ
ザシアン,サンダー電,ウインディ,ポリゴン２,ウーラオス悪,パッチラゴン,くちたけん,するどいくちばし,だっしゅつパック,しんかのきせき,きあいのタスキ,こだわりスカーフ
ザシアン,ガブリアス,サンダー電,ウーラオス悪,ポリゴン２,ガマゲロゲ,くちたけん,こだわりスカーフ,ゴツゴツメット,きあいのタスキ,しんかのきせき,いのちのたま
ザシアン,ロトム炎,ボルトロス化,ランドロス霊,ラプラス,ウーラオス悪,くちたけん,たべのこし,オボンのみ,いのちのたま,ひかりのねんど,こだわりハチマキ
ディアルガ,カプ・レヒレ,ウーラオス悪,ゴリランダー,サンダー電,ランドロス霊,たべのこし,ウイのみ,こだわりスカーフ,こだわりハチマキ,ゴツゴツメット,オボンのみ
ネクロズマ日,ガマゲロゲ,カバルドン,ブラッキー,ウーラオス悪,サンダー電,じゃくてんほけん,カゴのみ,アッキのみ,たべのこし,こだわりハチマキ,いのちのたま
ザシアン,ラグラージ,サンダー電,ポリゴン２,ウーラオス悪,ウオノラゴン,くちたけん,たべのこし,いのちのたま,しんかのきせき,こだわりハチマキ,こだわりスカーフ
ドラパルト,カイオーガ,ランドロス霊,サンダー電,ヒードラン,ウーラオス悪,いのちのたま,とつげきチョッキ,オボンのみ,ゴツゴツメット,たべのこし,こだわりスカーフ
ザシアン,ラプラス,サンダー電,ウーラオス悪,ラッキー,ヌオー,くちたけん,ひかりのねんど,いのちのたま,こだわりハチマキ,しんかのきせき,たべのこし
エースバーン,ザシアン,ラグラージ,ウーラオス悪,ボルトロス霊,カプ・レヒレ,いのちのたま,くちたけん,オボンのみ,きあいのタスキ,とつげきチョッキ,たべのこし
ザシアン,カイリュー,ラグラージ,ウーラオス悪,ポリゴン２,サンダー電,くちたけん,いのちのたま,オボンのみ,きあいのタスキ,しんかのきせき,ゴツゴツメット
カイオーガ,サンダー電,ウーラオス悪,ランドロス霊,ナットレイ,ラッキー,こだわりスカーフ,ゴツゴツメット,こだわりハチマキ,オボンのみ,たべのこし,しんかのきせき
ラグラージ,ネクロズマ日,ギャラドス,サンダー電,バシャーモ,ウーラオス悪,イバンのみ,ラムのみ,ソクノのみ,いのちのたま,バコウのみ,きあいのタスキ
カイオーガ,サンダー電,ナットレイ,ドサイドン,ヒヒダルマ氷,ウーラオス悪,とつげきチョッキ,オボンのみ,たべのこし,イバンのみ,こだわりスカーフ,きあいのタスキ
レジエレキ,メタモン,ランドロス霊,ウーラオス悪,ナットレイ,バドレックス黒,じしゃく,こだわりスカーフ,ゴツゴツメット,きあいのタスキ,たべのこし,いのちのたま
バドレックス黒,ポリゴン２,ドヒドイデ,サンダー電,ドリュウズ,ウーラオス悪,たべのこし,しんかのきせき,くろいヘドロ,いのちのたま,とつげきチョッキ,きあいのタスキ
ザシアン,サンダー電,ロトム炎,カイリュー,ガマゲロゲ,ウーラオス悪,くちたけん,オボンのみ,バンジのみ,こだわりハチマキ,いのちのたま,きあいのタスキ
バドレックス黒,カバルドン,マリルリ,ナットレイ,ウインディ,ウーラオス悪,のろいのおふだ,オボンのみ,とつげきチョッキ,たべのこし,ゴツゴツメット,きあいのタスキ
ザシアン,ウーラオス悪,サンダー電,ウオノラゴン,ドヒドイデ,ドサイドン,くちたけん,きあいのタスキ,いのちのたま,こだわりハチマキ,くろいヘドロ,イバンのみ
ネクロズマ日,ドラパルト,サンダー電,ウーラオス悪,トリトドン,ニンフィア,じゃくてんほけん,きあいのタスキ,いのちのたま,こだわりハチマキ,オボンのみ,たべのこし
ザシアン,サンダー電,ウーラオス悪,カイリュー,ガマゲロゲ,ロトム炎,くちたけん,オボンのみ,きあいのタスキ,こだわりハチマキ,いのちのたま,バンジのみ
サンダー電,ゼルネアス,ラグラージ,メタモン,ウーラオス悪,ナットレイ,いのちのたま,パワフルハーブ,オボンのみ,こだわりスカーフ,こだわりハチマキ,たべのこし
バドレックス黒,カバルドン,サンダー電,ウーラオス悪,マリルリ,ドリュウズ,たべのこし,オボンのみ,アッキのみ,きあいのタスキ,とつげきチョッキ,いのちのたま
ラプラス,ザシアン,カバルドン,サンダー電,エースバーン,ウーラオス悪,たべのこし,くちたけん,オボンのみ,いのちのたま,こだわりスカーフ,きあいのタスキ
カイオーガ,カイリュー,ウーラオス悪,サンダー電,ドリュウズ,ランクルス,こだわりスカーフ,こだわりハチマキ,きあいのタスキ,アッキのみ,じゃくてんほけん,どくどくだま
ムゲンダイナ,テッカグヤ,レジエレキ,ウーラオス悪,メタグロス,カバルドン,りゅうのキバ,たべのこし,いのちのたま,こだわりハチマキ,とつげきチョッキ,オボンのみ
バドレックス黒,アーマーガア,カバルドン,ウーラオス悪,ポリゴン２,マリルリ,いのちのたま,ゴツゴツメット,オボンのみ,きあいのタスキ,しんかのきせき,とつげきチョッキ
カイオーガ,ハッサム,サンダー電,ランドロス霊,ラッキー,ウーラオス悪,こだわりスカーフ,こだわりハチマキ,アッキのみ,いのちのたま,しんかのきせき,きあいのタスキ
ネクロズマ日,エンテイ,ウーラオス悪,カプ・レヒレ,ランドロス霊,サンダー電,こだわりハチマキ,きあいのタスキ,こだわりスカーフ,たべのこし,オボンのみ,いのちのたま
ネクロズマ日,ランドロス霊,カプ・レヒレ,レジエレキ,ウーラオス悪,ラティアス,じゃくてんほけん,きあいのタスキ,ウイのみ,じしゃく,こだわりスカーフ,タラプのみ
キュレム黒,ヒードラン,ヌオー,サンダー電,ウーラオス悪,モロバレル,いのちのたま,ふうせん,オボンのみ,たべのこし,こだわりスカーフ,きあいのタスキ
ウーラオス悪,ミミッキュ,カイオーガ,サンダー電,メタグロス,ガブリアス,きあいのタスキ,いのちのたま,こだわりスカーフ,タラプのみ,とつげきチョッキ,ラムのみ
ザシアン,サンダー電,カバルドン,エースバーン,ウーラオス悪,ラプラス,くちたけん,いのちのたま,オボンのみ,こだわりスカーフ,きあいのタスキ,たべのこし
ザシアン,ラプラス,ボルトロス霊,ガラガラ炎霊,カバルドン,ウーラオス悪,くちたけん,ひかりのねんど,フィラのみ,ふといホネ,たべのこし,きあいのタスキ
ムゲンダイナ,ランドロス霊,メタグロス,ラプラス,ウーラオス悪,ミミッキュ,こだわりスカーフ,オボンのみ,とつげきチョッキ,いのちのたま,こだわりハチマキ,フィラのみ
バドレックス白,ヌオー,ウツロイド,マリルリ,ウーラオス悪,サンダー電,イバンのみ,ゴツゴツメット,パワフルハーブ,とつげきチョッキ,きあいのタスキ,オボンのみ
カバルドン,バドレックス黒,ウーラオス悪,サンダー電,ランドロス霊,マリルリ,オボンのみ,こだわりメガネ,きあいのタスキ,アッキのみ,ラムのみ,とつげきチョッキ
サンダー電,ジバコイル,ウーラオス悪,ランドロス霊,カイオーガ,ミミッキュ,こだわりスカーフ,とつげきチョッキ,こだわりハチマキ,オボンのみ,いのちのたま,タラプのみ
カイオーガ,ランドロス霊,サンダー電,ヒードラン,ウーラオス悪,メタモン,とつげきチョッキ,いのちのたま,オボンのみ,たべのこし,きあいのタスキ,こだわりスカーフ
ガマゲロゲ,パッチラゴン,リザードン,ザシアン,ウーラオス悪,ウオノラゴン,いのちのたま,じゃくてんほけん,ラムのみ,くちたけん,きあいのタスキ,こだわりハチマキ
グラードン,シャンデラ,ミミッキュ,ウーラオス悪,カイリュー,ウツロイド,とつげきチョッキ,きあいのタスキ,タラプのみ,こだわりハチマキ,じゃくてんほけん,パワフルハーブ
カイオーガ,ドリュウズ,カバルドン,ミミッキュ,ウーラオス悪,ヒヒダルマ氷,いのちのたま,じゃくてんほけん,オボンのみ,ラムのみ,きあいのタスキ,こだわりスカーフ
カバルドン,カイオーガ,サンダー電,ゴリランダー,ヒードラン,ウーラオス悪,オボンのみ,こだわりスカーフ,フィラのみ,こだわりハチマキ,たべのこし,きあいのタスキ
ルギア,レジエレキ,ウインディ,ドリュウズ,ウーラオス悪,カプ・レヒレ,じゃくてんほけん,いのちのたま,たべのこし,とつげきチョッキ,こだわりハチマキ,こだわりメガネ
マリルリ,キュレム白,ランドロス霊,ヒードラン,カプ・コケコ,ウーラオス悪,しんぴのしずく,こだわりスカーフ,ゴツゴツメット,たべのこし,じしゃく,きあいのタスキ
ザシアン,サンダー電,ウーラオス悪,ラプラス,ガマゲロゲ,ボルトロス霊,くちたけん,アッキのみ,きあいのタスキ,ひかりのねんど,いのちのたま,こだわりスカーフ
ザシアン,サンダー電,ヌオー,ラプラス,ウーラオス悪,バンギラス,くちたけん,いのちのたま,オボンのみ,ひかりのねんど,きあいのタスキ,カゴのみ
バドレックス黒,カバルドン,ウーラオス悪,マリルリ,サンダー電,カミツルギ,いのちのたま,オボンのみ,きあいのタスキ,とつげきチョッキ,こだわりスカーフ,ノーマルジュエル
ホウオウ,ナットレイ,トリトドン,バンギラス,サンダー電,ウーラオス悪,いのちのたま,,ラムのみ,こだわりハチマキ,ゴツゴツメット,きあいのタスキ
ホウオウ,ナットレイ,カプ・レヒレ,ウーラオス悪,ガマゲロゲ,ミミッキュ,じゃくてんほけん,イバンのみ,こだわりスカーフ,きあいのタスキ,いのちのたま,チイラのみ
イベルタル,ウオノラゴン,ウーラオス悪,テッカグヤ,サンダー電,ヒードラン,とつげきチョッキ,こだわりスカーフ,きあいのタスキ,バンジのみ,アッキのみ,たべのこし
グラードン,エースバーン,ラティアス,ウーラオス悪,ミミッキュ,ラプラス,とつげきチョッキ,きあいのタスキ,アッキのみ,こだわりハチマキ,チイラのみ,いのちのたま
サンダー電,ムゲンダイナ,ウーラオス悪,ヒヒダルマ氷,ラッキー,ナマコブシ,いのちのたま,パワフルハーブ,きあいのタスキ,こだわりスカーフ,しんかのきせき,たべのこし
エースバーン,ガブリアス,ウーラオス悪,ルージュラ,サンダー電,ネクロズマ日,いのちのたま,こだわりスカーフ,こだわりハチマキ,きあいのタスキ,ゴツゴツメット,じゃくてんほけん
ガマゲロゲ,ロトム炎,ウーラオス悪,サンダー電,カイリュー,ザシアン,いのちのたま,フィラのみ,きあいのタスキ,オボンのみ,こだわりハチマキ,くちたけん
カイオーガ,ドリュウズ,サンダー電,ミミッキュ,ナットレイ,ウーラオス悪,こだわりスカーフ,いのちのたま,オボンのみ,のろいのおふだ,たべのこし,こだわりハチマキ
カイオーガ,サンダー電,ガブリアス,ナットレイ,ミミッキュ,ウーラオス悪,こだわりスカーフ,アッキのみ,とつげきチョッキ,たべのこし,いのちのたま,きあいのタスキ
ザシアン,ラプラス,サンダー電,ドサイドン,ヒードラン,ウーラオス悪,くちたけん,たべのこし,いのちのたま,イバンのみ,ふうせん,きあいのタスキ
ザシアン,ドサイドン,ラプラス,サンダー電,ガマゲロゲ,ウーラオス悪,くちたけん,とつげきチョッキ,ひかりのねんど,アッキのみ,いのちのたま,きあいのタスキ
ザシアン,サンダー電,ウーラオス悪,ドラパルト,ガマゲロゲ,ドサイドン,くちたけん,オボンのみ,きあいのタスキ,とつげきチョッキ,いのちのたま,イバンのみ
ザシアン,ウーラオス悪,ボルトロス霊,テッカグヤ,ラプラス,ガブリアス,くちたけん,きあいのタスキ,バンジのみ,オボンのみ,たべのこし,こだわりスカーフ
ザシアン,サンダー電,ガマゲロゲ,ウーラオス悪,ドラパルト,メタモン,くちたけん,オボンのみ,いのちのたま,きあいのタスキ,とつげきチョッキ,こだわりスカーフ
カイオーガ,ナットレイ,サンダー電,ウーラオス悪,バンギラス,ランドロス霊,こだわりスカーフ,たべのこし,いのちのたま,きあいのタスキ,とつげきチョッキ,オボンのみ
ゼルネアス,エースバーン,ボルトロス化,ウーラオス悪,ランドロス霊,ゴチルゼル,パワフルハーブ,いのちのたま,だっしゅつボタン,きあいのタスキ,ラムのみ,たべのこし
カバルドン,ドリュウズ,バドレックス黒,ウーラオス悪,サンダー電,カプ・レヒレ,オボンのみ,じゃくてんほけん,たべのこし,きあいのタスキ,アッキのみ,ミストシード
カプ・レヒレ,ネクロズマ日,ウーラオス悪,サンダー電,カイリュー,ガマゲロゲ,たべのこし,じゃくてんほけん,きあいのタスキ,こだわりスカーフ,あつぞこブーツ,とつげきチョッキ
ランドロス霊,ラプラス,ネクロズマ日,ミミッキュ,ウーラオス悪,サンダー電,きあいのタスキ,たべのこし,じゃくてんほけん,イバンのみ,こだわりハチマキ,いのちのたま
イベルタル,ガマゲロゲ,ヒードラン,ランドロス霊,カプ・コケコ,ウーラオス悪,じゃくてんほけん,オボンのみ,たべのこし,こだわりスカーフ,とつげきチョッキ,きあいのタスキ
カイオーガ,ガマゲロゲ,ヒードラン,ウーラオス悪,バンギラス,サンダー電,こだわりスカーフ,いのちのたま,たべのこし,きあいのタスキ,とつげきチョッキ,するどいくちばし
ガブリアス,オニゴーリ,ウーラオス悪,テッカグヤ,ピクシー,カプ・レヒレ,でんきだま,たべのこし,きあいのタスキ,いのちのたま,アッキのみ,こうこうのしっぽ
ドリュウズ,サンダー電,カプ・レヒレ,ウーラオス悪,アーゴヨン,ミミッキュ,いのちのたま,こだわりスカーフ,こだわりメガネ,きあいのタスキ,だっしゅつパック,のろいのおふだ
ラグラージ,サンダー電,ミミッキュ,エースバーン,ウーラオス悪,カミツルギ,オボンのみ,たべのこし,アッキのみ,きあいのタスキ,こだわりスカーフ,いのちのたま
エースバーン,サンダー電,ウツロイド,ウーラオス悪,ランドロス霊,ナットレイ,こだわりスカーフ,マゴのみ,パワフルハーブ,こだわりハチマキ,オボンのみ,たべのこし
ランドロス霊,ウーラオス悪,ミミッキュ,サンダー電,バシャーモ,カプ・レヒレ,オボンのみ,きあいのタスキ,アッキのみ,いのちのたま,バコウのみ,こだわりスカーフ
キュウコン氷妖,ボルトロス霊,ウーラオス悪,ラグラージ,テッカグヤ,ミミッキュ,ひかりのねんど,こだわりスカーフ,きあいのタスキ,いのちのたま,じゃくてんほけん,アッキのみ
エースバーン,ドヒドイデ,ラッキー,ミミッキュ,ウーラオス悪,サンダー電,ラムのみ,くろいヘドロ,しんかのきせき,アッキのみ,きあいのタスキ,いのちのたま
ポリゴン２,パッチラゴン,バンギラス,ミミッキュ,ウーラオス悪,ラプラス,しんかのきせき,いのちのたま,ラムのみ,アッキのみ,きあいのタスキ,たべのこし
ボルトロス霊,カプ・レヒレ,ウーラオス悪,カイリュー,メタグロス,ミミッキュ,オボンのみ,たべのこし,きあいのタスキ,いのちのたま,とつげきチョッキ,こうこうのしっぽ
サンダー電,ラグラージ,カプ・テテフ,エースバーン,ミミッキュ,ウーラオス悪,するどいくちばし,オボンのみ,こだわりスカーフ,いのちのたま,のろいのおふだ,きあいのタスキ
ミミッキュ,ウーラオス悪,ランドロス霊,ウオノラゴン,ツンデツンデ,サンダー電,いのちのたま,こだわりハチマキ,オボンのみ,こだわりスカーフ,とつげきチョッキ,じゃくてんほけん
ボーマンダ,カプ・レヒレ,ミミッキュ,ウーラオス悪,ボルトロス霊,エースバーン,いのちのたま,たべのこし,のろいのおふだ,きあいのタスキ,とつげきチョッキ,オボンのみ
エースバーン,レジエレキ,ウーラオス悪,ランドロス霊,ミミッキュ,ポリゴン２,きあいのタスキ,こだわりメガネ,こだわりハチマキ,オボンのみ,いのちのたま,しんかのきせき
カバルドン,サンダー電,エースバーン,ウーラオス悪,ミミッキュ,カプ・レヒレ,イバンのみ,するどいくちばし,いのちのたま,きあいのタスキ,アッキのみ,ゴツゴツメット
ランドロス霊,ライコウ,カプ・レヒレ,エースバーン,ミミッキュ,ウーラオス悪,ラムのみ,オボンのみ,こだわりスカーフ,きあいのタスキ,のろいのおふだ,こだわりハチマキ
カバルドン,サンダー電,エースバーン,ポリゴン２,ウーラオス悪,ドヒドイデ,オボンのみ,するどいくちばし,いのちのたま,しんかのきせき,きあいのタスキ,くろいヘドロ
マリルリ,ウーラオス悪,ドサイドン,ミミッキュ,アーゴヨン,サンダー電,とつげきチョッキ,きあいのタスキ,じゃくてんほけん,いのちのたま,こだわりスカーフ,アッキのみ
ラグラージ,サンダー電,ミミッキュ,ウーラオス悪,カイリュー,ポリゴン２,オボンのみ,いのちのたま,アッキのみ,きあいのタスキ,あつぞこブーツ,しんかのきせき
ウーラオス悪,サンダー電,ゴリランダー,ミミッキュ,ポリゴン２,エースバーン,きあいのタスキ,するどいくちばし,こだわりハチマキ,アッキのみ,しんかのきせき,いのちのたま
ドラパルト,サンダー電,カバルドン,ポリゴン２,カプ・レヒレ,ウーラオス悪,いのちのたま,じゃくてんほけん,アッキのみ,しんかのきせき,こだわりスカーフ,こだわりハチマキ
